iter	Logloss
0	0.6845008766
1	0.6748936789
2	0.6661654089
3	0.6581283674
4	0.6502556882
5	0.6427340501
6	0.6350741546
7	0.6284525784
8	0.6213728692
9	0.6147865816
10	0.6080229644
11	0.6011691448
12	0.595526645
13	0.5900837641
14	0.5843196628
15	0.5788520785
16	0.5740892396
17	0.5686618087
18	0.5634819058
19	0.5589631189
20	0.554168678
21	0.5505336166
22	0.5458842737
23	0.5416035199
24	0.5373484391
25	0.5333763266
26	0.5302440349
27	0.5259797425
28	0.5221583988
29	0.5180911804
30	0.5142475226
31	0.5110956728
32	0.5079152141
33	0.5049138336
34	0.5016364089
35	0.4985333214
36	0.4954763846
37	0.4926540691
38	0.4900590842
39	0.4875227308
40	0.4851103985
41	0.4832597301
42	0.4808664236
43	0.4785608656
44	0.4761124937
45	0.4735497816
46	0.4711121596
47	0.4687918059
48	0.4671479911
49	0.4653635479
50	0.4634854079
51	0.4616836852
52	0.4598088096
53	0.4577362601
54	0.4561524548
55	0.4540569789
56	0.4519248217
57	0.4504895819
58	0.4493140604
59	0.448040737
60	0.446311085
61	0.4449330493
62	0.443342025
63	0.4421022583
64	0.4406801772
65	0.4391856454
66	0.4376839295
67	0.4361418626
68	0.4344673219
69	0.4332116991
70	0.4321169508
71	0.4310761085
72	0.430018485
73	0.4288701027
74	0.4277116206
75	0.4265173434
76	0.4256272223
77	0.4244875671
78	0.4235075967
79	0.422346311
80	0.4214088491
81	0.4203818152
82	0.4195989466
83	0.4186055992
84	0.4177362205
85	0.4166961222
86	0.415690363
87	0.4148154472
88	0.4136646373
89	0.4128540769
90	0.4121676334
91	0.4109604684
92	0.4100389954
93	0.4093640823
94	0.4080574788
95	0.4072436725
96	0.406401662
97	0.4055937239
98	0.4047733333
99	0.4038371853
100	0.4031650897
101	0.4024322187
102	0.4015032896
103	0.4006949006
104	0.4000136956
105	0.3993182812
106	0.3986788393
107	0.3978459192
108	0.396978171
109	0.3963922591
110	0.3958228362
111	0.3953242836
112	0.3945872354
113	0.3940855345
114	0.3934138578
115	0.3928350614
116	0.3920191833
117	0.3912925042
118	0.3907198666
119	0.3901532474
120	0.3896114843
121	0.3891483376
122	0.3885632695
123	0.387889916
124	0.3871706232
125	0.3865912232
126	0.3858927953
127	0.3852526033
128	0.3845207834
129	0.384076329
130	0.3835724635
131	0.382888001
